id,name,size
110000040403,Schmargendorf,769041
110000040405,Westend,2202372
110000121208,Lübars,233045
110000121205,Frohnau,965807
110000010103,Hansaviertel,115582
110000111104,Falkenberg,124233
110000040404,Grunewald,944102
110000090903,Baumschulenweg,684994
110000030311,Niederschönhausen,847511
110000121211,Borsigwalde,247919
110000121204,Heiligensee,883825
110000121206,Hermsdorf,774903
110000121210,Märkisches Viertel,322143
110000050502,Haselhorst,534202
110000111111,Fennpfuhl,582177
110000060601,Steglitz,1448372
110000030303,Blankenburg,539054
110000030310,Französisch Buchholz,1214515
110000090914,Müggelheim,484937
110000111106,Malchow,75094
110000090902,Plänterwald,388914
110000090908,Bohnsdorf,877799
110000090913,Grünau,433849
110000090901,Alt-Treptow,328956
110000101002,Biesdorf,1695500
110000121202,Tegel,1572685
110000121203,Konradshöhe,284431
110000040407,Halensee,273413
110000040406,Charlottenburg-Nord,869269
110000050503,Siemensstadt,440357
110000060608,Schlachtensee,430205
110000060604,Zehlendorf,2143912
110000010105,Wedding,1835159
110000111107,Wartenberg,191105
110000030307,Pankow,1214036
110000111102,Karlshorst,901128
110000080802,Britz,1299001
110000060605,Dahlem,1103624
110000060602,Lichterfelde,2398015
110000040401,Charlottenburg,2769340
110000111112,Rummelsburg,643055
110000050507,Hakenfelde,858786
110000010102,Moabit,1445643
110000050501,Spandau,1228053
110000050508,Falkenhagener Feld,692029
110000090909,Oberschöneweide,747440
110000070703,Tempelhof,1722324
110000090905,Niederschöneweide,442832
110000050504,Staaken,1209481
110000101001,Marzahn,3856928
110000121209,Wittenau,802817
110000030305,Karow,844348
110000060606,Nikolassee,1416615
110000060607,Wannsee,767067
110000090912,Rahnsdorf,845524
110000111103,Lichtenberg,996087
110000020201,Friedrichshain,2094022
110000111110,Alt-Hohenschönhausen,1454182
110000070702,Friedenau,452354
110000050509,Wilhelmstadt,1066855
110000121207,Waidmannslust,268029
110000111109,Neu-Hohenschönhausen,1198944
110000070706,Lichtenrade,1629063
110000090911,Friedrichshagen,732476
110000111101,Friedrichsfelde,1060992
110000070705,Marienfelde,841367
110000040402,Wilmersdorf,2266420
110000070701,Schöneberg,2564047
110000080801,Neukölln,2227746
110000080805,Gropiusstadt,412140
110000080804,Rudow,1491078
110000090906,Altglienicke,1256521
110000030306,Stadtrandsiedlung Malchow,326342
110000030301,Prenzlauer Berg,2774852
110000010101,Mitte,2863808
110000030313,Wilhelmsruh,215931
110000030312,Rosenthal,381823
110000090907,Adlershof,1022318
110000121201,Reinickendorf,1802073
110000010106,Gesundbrunnen,1283633
110000090904,Johannisthal,916179
110000101004,Mahlsdorf,2000431
110000030309,Buch,891328
110000010104,Tiergarten,876694
110000050505,Gatow,305078
110000020202,Kreuzberg,2466361
110000090910,Köpenick,2016311
110000050506,Kladow,956818
110000030308,Blankenfelde,374397
110000090915,Schmöckwitz,463048
110000070704,Mariendorf,1180631
110000030304,Heinersdorf,388963
110000101005,Hellersdorf,1902929
110000101003,Kaulsdorf,1197420
110000060603,Lankwitz,1028737
110000030302,Weißensee,1190939
110000080803,Buckow,956534
