id,name,bezirk,bezirksregion,prognoseraum,size
10010310,Alt-Marzahn,Marzahn-Hellersdorf,Marzahn Süd,Marzahn,2238368.26
10010101,Marzahn West,Marzahn-Hellersdorf,Marzahn Nord,Marzahn,694985.47
10010206,Ringkolonnaden,Marzahn-Hellersdorf,Marzahn Mitte,Marzahn,1486009.41
10010204,Wuhletalstraße,Marzahn-Hellersdorf,Marzahn Mitte,Marzahn,845563.37
10010102,Havemannstraße,Marzahn-Hellersdorf,Marzahn Nord,Marzahn,1898742.52
10010311,Landsberger Tor,Marzahn-Hellersdorf,Marzahn Süd,Marzahn,1608201.44
10010205,Marzahn Ost,Marzahn-Hellersdorf,Marzahn Mitte,Marzahn,1098556.14
10020413,Gut Hellersdorf,Marzahn-Hellersdorf,Hellersdorf Nord,Hellersdorf,1618142.04
10020412,Alte Hellersdorfer Straße,Marzahn-Hellersdorf,Hellersdorf Nord,Hellersdorf,445221.41
10020519,Boulevard Kastanienallee,Marzahn-Hellersdorf,Hellersdorf Ost,Hellersdorf,526202.95
10020414,Helle Mitte,Marzahn-Hellersdorf,Hellersdorf Nord,Hellersdorf,163703.72
10020415,Hellersdorfer Promenade,Marzahn-Hellersdorf,Hellersdorf Nord,Hellersdorf,451604.89
10020517,Adele-Sandrock-Straße,Marzahn-Hellersdorf,Hellersdorf Ost,Hellersdorf,1110636.67
10020416,Böhlener Straße,Marzahn-Hellersdorf,Hellersdorf Nord,Hellersdorf,919160.94
9031202,Schmöckwitz/Rauchfangswerder,Treptow-Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,Treptow-Köpenick 3,14762023.26
9031101,Grünau,Treptow-Köpenick,Grünau,Treptow-Köpenick 3,9167272.65
9041601,Müggelheim,Treptow-Köpenick,Müggelheim,Treptow-Köpenick 4,22184659.33
9031201,Karolinenhof,Treptow-Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,Treptow-Köpenick 3,2355967.51
9031001,Bohnsdorf,Treptow-Köpenick,Bohnsdorf,Treptow-Köpenick 3,6659431.47
8041038,Waßmannsdorfer Chaussee,Neukölln,Rudow,Buckow Nord/Rudow,2775322.71
9030903,Kölner Viertel,Treptow-Köpenick,Altglienicke,Treptow-Köpenick 3,1572124.35
9030902,Wohngebiet II,Treptow-Köpenick,Altglienicke,Treptow-Köpenick 3,380790.09
8041039,Frauenviertel,Neukölln,Rudow,Buckow Nord/Rudow,471744.12
