id,name,size
10010310,Alt-Marzahn,250328
10010101,Marzahn West,133975
10010206,Ringkolonnaden,237959
10010204,Wuhletalstraße,55122
10010102,Havemannstraße,605273
10010311,Landsberger Tor,1105472
10010205,Marzahn Ost,539543
10020413,Gut Hellersdorf,180944
10020412,Alte Hellersdorfer Straße,22657
10020519,Boulevard Kastanienallee,62921
10020414,Helle Mitte,3272
10020415,Hellersdorfer Promenade,84214
10020517,Adele-Sandrock-Straße,185011
10020416,Böhlener Straße,374244
9031202,Schmöckwitz/Rauchfangswerder,4337
9031101,Grünau,46953
9041601,Müggelheim,42296
9031201,Karolinenhof,10202
9031001,Bohnsdorf,146650
8041038,Waßmannsdorfer Chaussee,277675
9030903,Kölner Viertel,120748
9030902,Wohngebiet II,31551
8041039,Frauenviertel,121370
9041301,Kietzer Feld/Nachtheide,965
9030901,Dorf Altglienicke,289497
8041040,Waltersdorfer Chaussee Ost,428518
9041302,Wendenschloß,11816
9051801,Rahnsdorf/Hessenwinkel,110992
8041037,Alt-Rudow,22914
9020701,Adlershof West,70714
9020702,Adlershof Ost,0
9020802,Köllnische Vorstadt,28206
9010402,Johannisthal Ost,663241
9041403,Allende II,75992
9010401,Johannisthal West,41633
9051702,Bölschestraße,170897
9041501,Altstadt Kietz,50799
9041401,Allende I,20809
9041402,Siedlung Kämmereiheide,9037
9020602,Oberspree,26151
9051701,Hirschgarten,87236
9051901,Dammvorstadt,179356
9020801,Spindlersfeld,50697
9020601,Schnellerstraße,44843
9020502,Oberschöneweide Ost,970344
9052001,Köpenick Nord,47446
9020501,Oberschöneweide West,1932
11051332,Karlshorst Süd,136478
10040933,Mahlsdorf Süd,104912
10030727,Biesdorf Süd,470100
11051331,Karlshorst Nord,283378
10040830,Kaulsdorf Süd,390814
11051330,Karlshorst West,4286
11051229,Rummelsburg,66889
11041128,Sewanstraße,293472
11041027,Tierpark,1304445
11040926,Weitlingstraße,75857
10030726,Alt-Biesdorf,288614
10040932,Alt-Mahlsdorf,36845
11030824,Frankfurter Allee Süd,39432
10040829,Alt-Kaulsdorf,24443
10010308,Marzahner Chaussee,56586
11041023,Gensinger Straße,24471
11041022,Rosenfelder Ring,27434
10040828,Kaulsdorf Nord,67602
10040931,Mahlsdorf Nord,18876
11030721,Rüdigerstraße,180827
10020622,Kaulsdorf Nord I,160828
10030725,Buckower Ring,388302
10030724,Oberfeldstraße,25397
11030720,Herzbergstraße,573926
10010309,Springpfuhl,226560
10020623,Rotes Viertel,9365
10020621,Gelbes Viertel,19867
10020620,Kaulsdorf Nord II,220268
10020518,Schleipfuhl,124722
3071638,Winsstraße,22029
3061435,Conrad-Blenkle-Straße,7899
3071537,Kollwitzplatz,21552
1011401,Invalidenstraße,58906
3061430,Volkspark Prenzlauer Berg,309341
3071639,Bötzowstraße,35512
3071536,Teutoburger Platz,5562
11030617,Hohenschönhausener Straße,14703
1011402,Arkonaplatz,44838
3061434,Anton-Saefkow-Park,65087
11020515,Landsberger Allee,106958
1033202,Humboldthain Süd,286009
11020516,Weiße Taube,15314
11020514,Große-Leege-Straße,15134
11020513,Orankesee,89871
3071633,Thälmannpark,132722
11020412,Hauptstraße,6888
3061429,Greifswalder Straße,97581
10010203,Gewerbegebiet Bitterfelder Straße,433150
3050925,Komponistenviertel Weißensee,6338
1033201,Brunnenstraße,142
10010207,Marzahner Promenade,12488
3061332,Helmholtzplatz,17593
3061228,Erich-Weinert-Straße,29267
3061131,Falkplatz,187755
3061227,Humannplatz,14901
3050924,Behaimstraße,85
3051022,Hansastraße,51112
3050923,Weißenseer Spitze,730
3061126,Arnimplatz,29973
1033102,Gesundbrunnen,8342
7070707,Wittelsbacherstraße,0
7070706,Horstwalder Straße/Paplitzer Straße,13631
7070705,Franziusweg/Rohrbachstraße,9373
7070703,John-Locke-Straße,14691
7070704,Nahariyastraße,77779
7070701,Kettinger Straße/Schillerstraße,12947
7070702,Alt-Lichtenrade/Töpchiner Weg,3999
8041036,Zittauer Straße,68114
8020727,Buckow Mitte,55377
8020726,Buckow West,23920
8020728,Buckow Ost,2603
7050506,Birnhornweg,0
7050505,Hundsteinweg,222256
8030831,Gropiusstadt Ost,107304
8030830,Gropiusstadt Süd,64710
8020624,Britzer Garten,963820
8041035,Blumenviertel,22639
8020625,Handwerker-Siedlung,123907
8030829,Gropiusstadt Nord,41354
8040933,Vogelviertel Süd,0
8020621,Mohriner Allee Nord,7021
8040934,Vogelviertel Nord,6647
8020622,Parchimer Allee,342123
8020623,Ortolanweg,33770
8020620,Tempelhofer Weg,79530
9010302,Späthsfelde,70187
7050504,Imbrosweg,44780
8040932,Goldhähnchenweg,0
7050503,Eisenacher Straße,173985
8020619,Buschkrugallee Nord,117916
7040406,Germaniagarten,62779
2030402,Wrangelkiez,10529
2050803,Stralauer Kiez,16318
2010104,Wassertorplatz,64811
2030301,Oranienplatz,71430
2010102,Mehringplatz,41058
2010101,Askanischer Platz,70461
2030302,Lausitzer Platz,16404
2010103,Moritzplatz,39353
11040925,Victoriastadt,5763
2040703,Wriezener Bahnhof/Entwicklungsgebiet,63155
2050802,Boxhagener Platz,15487
1011306,Heine-Viertel Ost,55943
2050801,Traveplatz,15009
1011305,Heine-Viertel West,74891
2040702,Weberwiese,20562
2040701,Andreasviertel,47005
1011201,Wilhelmstraße,9
1011204,Leipziger Straße,17443
1011304,Karl-Marx-Allee,38533
1011203,Unter den Linden Süd,4794
2050602,Samariterviertel,34197
1011303,Alexanderplatzviertel,122622
2040503,Richard-Sorge-Viertel,48496
1011202,Unter den Linden Nord,38305
2040502,Friedenstraße,28878
2050601,Hausburgviertel,833
3061441,Eldenaer Straße,60760
2040501,Barnimkiez,457798
1011302,Oranienburger Straße,59118
11030618,Fennpfuhl West,167130
11030619,Fennpfuhl Ost,10866
11020411,Malchower Weg,16821
3050920,Weißer See,147660
3051017,Rennbahnstraße,254570
3040818,Pankow Süd,47942
3051021,Buschallee,14516
3050919,Gustav-Adolf-Straße,4042
11010310,Mühlengrund,35641
11010205,Falkenberg West,79401
1033101,Soldiner Straße,64242
3030715,Heinersdorf,105470
11010204,Falkenberg Ost,278107
3040614,Pankow Zentrum,333911
11010309,Zingster Straße West,105177
11010308,Zingster Straße Ost,143212
3030716,Märchenland,1448867
11010103,Dorf Falkenberg,1659618
11010207,Wartenberg Nord,64944
11010206,Wartenberg Süd,55889
11010101,Dorf Malchow,485418
3040513,Schönholz,549721
11010102,Dorf Wartenberg,1684440
3020209,Niederschönhausen,11819
3030711,Blankenburg,235069
3020210,Herthaplatz,46898
3020307,Buchholz,194499
3030406,Alt-Karow,58939
3020203,Blankenfelde,755657
3010104,Lietzengraben,384915
3030405,Karow Nord,248552
3010102,Buch,132140
3010101,Bucher Forst,219830
7040405,Rathaus Tempelhof,77254
9010301,Baumschulenstraße,91864
8010510,Gewerbegebiet Köllnische Heide,1588
8010509,Schulenburgpark,78863
8010118,Silbersteinstraße,77407
8010214,Glasower Straße,0
7040401,Neu-Tempelhof,2700511
8010115,Hasenheide,468567
8010213,Körnerpark,52633
8010508,Weiße Siedlung,0
8010404,Rixdorf,13115
9010202,Köpenicker Landstraße,56036
8010117,Schillerpromenade,9784
9010201,Am Treptower Park Süd,26651
8010407,Gewerbegebiet Ederstraße,0
8010212,Rollberg,26566
8010405,Hertzbergplatz,20418
8010211,Flughafenstraße,1330
8010406,Treptower Straße Nord,513
8010116,Wissmannstraße,15240
8010303,Donaustraße,0
9010102,Am Treptower Park Nord,744240
8010301,Reuterkiez,18296
2020205,Chamissokiez,3403
9010101,Elsenstraße,123105
8010302,Bouchéstraße,0
2050804,Stralauer Halbinsel,81595
2020206,Graefekiez,34782
2020204,Urbanstraße,44939
2030401,Reichenberger Straße,142636
2020202,Rathaus Yorckstraße,3369
7010104,Dennewitzplatz,74051
4051445,Eisenzahnstraße,1111
7010103,Barbarossaplatz,51594
4051446,Preußenpark,59092
2020201,Gleisdreieck/Entwicklungsgebiet,276666
4051447,Ludwigkirchplatz,3251
4031032,Halensee,13559
4051448,Schaperstraße,9679
7010102,Nollendorfplatz,4857
7010101,Wittenbergplatz/Viktoria-Luise-Platz,6608
1011104,Körnerstraße,19448
1011103,Lützowstraße,19571
4030726,Droysenstraße,8507
4030930,George-Grosz-Platz,4
4030931,Breitscheidplatz,15
4030929,Hindemithplatz,0
4030724,Lietzensee,100683
1011105,Nördlicher Landwehrkanal,51563
1011101,Stülerstraße,66
4030725,Amtsgerichtsplatz,2203
4030827,Karl-August-Platz,12786
4030828,Savignyplatz,9598
4030623,Ernst-Reuter-Platz,16092
1011102,Großer Tiergarten,2163862
4020313,Königin-Elisabeth-Straße,0
4030417,Schloßstraße,22222
4030622,Richard-Wagner-Straße,6483
4030621,Spreestadt,28207
1022207,Hansaviertel,60914
4030416,Klausenerplatz,13587
4030620,Alt-Lietzow,38393
6040810,Dahlem,201155
7040403,Manteuffelstraße,82664
6010101,Fichtenberg,40966
7040402,Lindenhofsiedlung,204689
7030303,Grazer Platz,193092
6010209,Feuerbachstraße,9510
6010210,Bismarckstraße,1509
6010103,Markelstraße,30118
7030301,Friedenau,10766
7030302,Ceciliengärten,11236
4041344,Rüdesheimer Platz,11153
4041343,Binger Straße,4331
4041241,Breite Straße,9928
4041342,Schlangenbader Straße,8539
4041240,Messelpark,35995
7020204,Schöneberger Insel,64331
4041239,Stadion Wilmersdorf,1
4041238,Kissinger Straße,27527
4051655,Babelsberger Straße,61816
4051656,Hildegardstraße,65
4051551,Brabanter Platz,3591
4041137,Flinsberger Platz,16133
7020202,Volkspark (Rudolf-Wilde-Park),62768
7020203,Kaiser-Wilhelm-Platz,27918
4051654,Wilhelmsaue,57771
4051549,Rathaus Wilmersdorf,51695
2020203,Viktoriapark,124408
7020201,Bayerischer Platz,6443
4051652,Nikolsburger Platz,4363
4051550,Leon-Jessel-Platz,1096
4051653,Prager Platz,1994
7060604,Marienfelde Süd,659006
7060603,Marienfelde Nordost,16
6020407,Thermometersiedlung,5178
6020408,Lichterfelde Süd,48109
6030607,Goerzwerke,51750
6020411,Schütte-Lanz-Straße,158446
7060602,Kirchstraße,106743
6030608,Schweizer Viertel,16831
7060601,Marienfelder Allee Nordwest,13836
6020306,Lankwitz Süd,52421
6020410,Oberhofer Platz,6051
6020409,Königsberger Straße,96194
6020305,Gemeindepark Lankwitz,143629
7050502,Fritz-Werner-Straße,11299
6020304,Kaiser-Wilhelm-Straße,5463
6030606,Hindenburgdamm,72878
6030610,Lichterfelde West,0
6020303,Lankwitz Kirche,35696
6030609,Augustaplatz,14271
6020302,Komponistenviertel Lankwitz,4
6020301,Alt-Lankwitz,55855
7050501,Rathausstraße,33248
6030605,Botanischer Garten,441587
6040809,Thielallee,111308
6010205,Südende,21976
6010206,Stadtpark,191670
7040404,Marienhöhe,56784
6010207,Mittelstraße,59465
