id,name,kfz,pkw
10010310,Alt-Marzahn,7132,6457
10010101,Marzahn West,1959,1783
10010206,Ringkolonnaden,5947,5387
10010204,Wuhletalstraße,3439,3174
10010102,Havemannstraße,5514,5090
10010311,Landsberger Tor,1634,1469
10010205,Marzahn Ost,2849,2605
10020413,Gut Hellersdorf,5051,4492
10020412,Alte Hellersdorfer Straße,1799,1669
10020519,Boulevard Kastanienallee,1454,1303
10020414,Helle Mitte,613,543
10020415,Hellersdorfer Promenade,1388,1271
10020517,Adele-Sandrock-Straße,3673,3339
10020416,Böhlener Straße,1519,1357
9031202,Schmöckwitz/Rauchfangswerder,1592,1363
9031101,Grünau,3440,2968
9041601,Müggelheim,4470,3711
9031201,Karolinenhof,1163,991
9031001,Bohnsdorf,7963,6507
8041038,Waßmannsdorfer Chaussee,4228,3553
9030903,Kölner Viertel,3695,3225
9030902,Wohngebiet II,1886,1730
8041039,Frauenviertel,1750,1571
9041301,Kietzer Feld/Nachtheide,5294,4631
9030901,Dorf Altglienicke,8662,7284
8041040,Waltersdorfer Chaussee Ost,3973,3402
9041302,Wendenschloß,1086,959
9051801,Rahnsdorf/Hessenwinkel,5649,4753
8041037,Alt-Rudow,5443,4547
9020701,Adlershof West,3180,2285
9020702,Adlershof Ost,7377,6430
9020802,Köllnische Vorstadt,2891,2445
9010402,Johannisthal Ost,5760,4740
9041403,Allende II,1549,1424
9010401,Johannisthal West,3563,3131
9051702,Bölschestraße,6328,5437
9041501,Altstadt Kietz,2535,2146
9041401,Allende I,2086,1924
9041402,Siedlung Kämmereiheide,752,651
9020602,Oberspree,1609,1437
9051701,Hirschgarten,1754,1562
9051901,Dammvorstadt,4553,3770
9020801,Spindlersfeld,1135,1004
9020601,Schnellerstraße,3179,2550
9020502,Oberschöneweide Ost,5264,4423
9052001,Köpenick Nord,6253,5266
9020501,Oberschöneweide West,2248,1788
11051332,Karlshorst Süd,2932,2488
10040933,Mahlsdorf Süd,9957,8381
10030727,Biesdorf Süd,5434,4689
11051331,Karlshorst Nord,4570,3909
10040830,Kaulsdorf Süd,5245,4293
11051330,Karlshorst West,3400,2903
11051229,Rummelsburg,1614,1294
11041128,Sewanstraße,7713,7094
11041027,Tierpark,901,750
11040926,Weitlingstraße,8545,7229
10030726,Alt-Biesdorf,2139,1750
10040932,Alt-Mahlsdorf,3266,2565
11030824,Frankfurter Allee Süd,2684,2366
10040829,Alt-Kaulsdorf,2210,1850
10010308,Marzahner Chaussee,4110,2458
11041023,Gensinger Straße,1994,1810
11041022,Rosenfelder Ring,1545,1372
10040828,Kaulsdorf Nord,4394,3764
10040931,Mahlsdorf Nord,5895,4987
11030721,Rüdigerstraße,7084,6157
10020622,Kaulsdorf Nord I,3045,2789
10030725,Buckower Ring,2962,2493
10030724,Oberfeldstraße,4240,3599
11030720,Herzbergstraße,2961,1929
10010309,Springpfuhl,4834,4439
10020623,Rotes Viertel,2277,2083
10020621,Gelbes Viertel,1619,1491
10020620,Kaulsdorf Nord II,1190,1091
10020518,Schleipfuhl,1953,1694
3071638,Winsstraße,4102,3433
3061435,Conrad-Blenkle-Straße,958,832
3071537,Kollwitzplatz,4527,3834
1011401,Invalidenstraße,4812,3793
3061430,Volkspark Prenzlauer Berg,1895,1443
3071639,Bötzowstraße,3493,2923
3071536,Teutoburger Platz,2737,2256
11030617,Hohenschönhausener Straße,1644,1516
1011402,Arkonaplatz,2988,2574
3061434,Anton-Saefkow-Park,1549,1291
11020515,Landsberger Allee,5210,4696
1033202,Humboldthain Süd,2583,2219
11020516,Weiße Taube,2335,2024
11020514,Große-Leege-Straße,3488,3046
11020513,Orankesee,1788,1517
3071633,Thälmannpark,872,785
11020412,Hauptstraße,4358,3005
3061429,Greifswalder Straße,2832,2604
10010203,Gewerbegebiet Bitterfelder Straße,1973,1057
3050925,Komponistenviertel Weißensee,3056,2565
1033201,Brunnenstraße,2886,2599
10010207,Marzahner Promenade,3469,3181
3061332,Helmholtzplatz,4842,3952
3061228,Erich-Weinert-Straße,3209,2806
3061131,Falkplatz,2345,1910
3061227,Humannplatz,3745,3081
3050924,Behaimstraße,2153,1633
3051022,Hansastraße,1669,1501
3050923,Weißenseer Spitze,3296,2645
3061126,Arnimplatz,5572,3826
1033102,Gesundbrunnen,2832,2424
7070707,Wittelsbacherstraße,1795,1535
7070706,Horstwalder Straße/Paplitzer Straße,1871,1603
7070705,Franziusweg/Rohrbachstraße,4040,3444
7070703,John-Locke-Straße,3289,2908
7070704,Nahariyastraße,3107,2729
7070701,Kettinger Straße/Schillerstraße,5779,4977
7070702,Alt-Lichtenrade/Töpchiner Weg,6428,5433
8041036,Zittauer Straße,4274,3581
8020727,Buckow Mitte,5998,5223
8020726,Buckow West,4589,3841
8020728,Buckow Ost,3673,3171
7050506,Birnhornweg,1425,1216
7050505,Hundsteinweg,5086,4369
8030831,Gropiusstadt Ost,5140,4705
8030830,Gropiusstadt Süd,2442,2195
8020624,Britzer Garten,791,667
8041035,Blumenviertel,5214,4297
8020625,Handwerker-Siedlung,1632,1385
8030829,Gropiusstadt Nord,4007,3681
8040933,Vogelviertel Süd,1968,1705
8020621,Mohriner Allee Nord,1635,1329
8040934,Vogelviertel Nord,1437,1212
8020622,Parchimer Allee,5355,4692
8020623,Ortolanweg,708,499
8020620,Tempelhofer Weg,4451,3659
9010302,Späthsfelde,1811,1478
7050504,Imbrosweg,2505,2178
8040932,Goldhähnchenweg,1071,969
7050503,Eisenacher Straße,4161,3209
8020619,Buschkrugallee Nord,4496,3634
7040406,Germaniagarten,1731,1234
2030402,Wrangelkiez,2375,1838
2050803,Stralauer Kiez,4904,3621
2010104,Wassertorplatz,1113,908
2030301,Oranienplatz,2230,1694
2010102,Mehringplatz,3904,3499
2010101,Askanischer Platz,2309,2113
2030302,Lausitzer Platz,3271,2584
2010103,Moritzplatz,4012,3452
11040925,Victoriastadt,1058,837
