id,name,einwohner,18_and_older
10010310,Alt-Marzahn,18290,15454
10010101,Marzahn West,5676,4528
10010206,Ringkolonnaden,17341,14565
10010204,Wuhletalstraße,10622,8488
10010102,Havemannstraße,18508,14659
10010311,Landsberger Tor,3694,3028
10010205,Marzahn Ost,8151,6687
10020413,Gut Hellersdorf,16062,13038
10020412,Alte Hellersdorfer Straße,7206,5321
10020519,Boulevard Kastanienallee,6113,4484
10020414,Helle Mitte,1713,1368
10020415,Hellersdorfer Promenade,6240,4794
10020517,Adele-Sandrock-Straße,9806,8209
10020416,Böhlener Straße,5949,4641
9031202,Schmöckwitz/Rauchfangswerder,2586,2164
9031101,Grünau,6885,5890
9041601,Müggelheim,6764,5749
9031201,Karolinenhof,1847,1575
9031001,Bohnsdorf,13118,10946
8041038,Waßmannsdorfer Chaussee,7080,5911
9030903,Kölner Viertel,8198,6330
9030902,Wohngebiet II,5642,4493
8041039,Frauenviertel,3807,3090
9041301,Kietzer Feld/Nachtheide,10111,8948
9030901,Dorf Altglienicke,14234,11625
8041040,Waltersdorfer Chaussee Ost,7947,6509
9041302,Wendenschloß,1911,1594
9051801,Rahnsdorf/Hessenwinkel,9557,8026
8041037,Alt-Rudow,9955,8431
9020701,Adlershof West,2919,2452
9020702,Adlershof Ost,16937,14366
9020802,Köllnische Vorstadt,8268,6626
9010402,Johannisthal Ost,11406,9471
9041403,Allende II,4418,3828
9010401,Johannisthal West,8435,7370
9051702,Bölschestraße,14944,12559
9041501,Altstadt Kietz,7263,5828
9041401,Allende I,5454,4811
9041402,Siedlung Kämmereiheide,1541,1243
9020602,Oberspree,3584,3057
9051701,Hirschgarten,4062,3485
9051901,Dammvorstadt,11621,9902
9020801,Spindlersfeld,2973,2512
9020601,Schnellerstraße,9248,7740
9020502,Oberschöneweide Ost,15881,13223
9052001,Köpenick Nord,13219,11458
9020501,Oberschöneweide West,7532,6328
11051332,Karlshorst Süd,7148,5461
10040933,Mahlsdorf Süd,15318,12791
10030727,Biesdorf Süd,10148,8402
11051331,Karlshorst Nord,10590,8567
10040830,Kaulsdorf Süd,7674,6438
11051330,Karlshorst West,10268,8349
11051229,Rummelsburg,4250,3197
11041128,Sewanstraße,26367,22901
11041027,Tierpark,3163,2706
11040926,Weitlingstraße,29670,25178
10030726,Alt-Biesdorf,3621,3029
10040932,Alt-Mahlsdorf,4332,3654
11030824,Frankfurter Allee Süd,9997,8514
10040829,Alt-Kaulsdorf,3920,3305
10010308,Marzahner Chaussee,2190,1869
11041023,Gensinger Straße,6750,5492
11041022,Rosenfelder Ring,5491,4825
10040828,Kaulsdorf Nord,7765,6545
10040931,Mahlsdorf Nord,9854,8225
11030721,Rüdigerstraße,25108,21297
10020622,Kaulsdorf Nord I,8544,7386
10030725,Buckower Ring,6781,5697
10030724,Oberfeldstraße,7815,6886
11030720,Herzbergstraße,6312,5594
10010309,Springpfuhl,14564,12517
10020623,Rotes Viertel,6475,5577
10020621,Gelbes Viertel,6336,4870
10020620,Kaulsdorf Nord II,3417,2923
10020518,Schleipfuhl,5321,4078
3071638,Winsstraße,17650,14415
3061435,Conrad-Blenkle-Straße,4005,3454
3071537,Kollwitzplatz,15999,13000
1011401,Invalidenstraße,17788,14737
3061430,Volkspark Prenzlauer Berg,3981,3163
3071639,Bötzowstraße,12866,10328
3071536,Teutoburger Platz,11255,9206
11030617,Hohenschönhausener Straße,6247,5347
1011402,Arkonaplatz,13412,11052
3061434,Anton-Saefkow-Park,6462,5476
11020515,Landsberger Allee,14985,12429
1033202,Humboldthain Süd,10402,8518
11020516,Weiße Taube,4107,3424
11020514,Große-Leege-Straße,9809,8126
11020513,Orankesee,3923,3031
3071633,Thälmannpark,3137,2636
11020412,Hauptstraße,6758,5641
3061429,Greifswalder Straße,9989,8888
10010203,Gewerbegebiet Bitterfelder Straße,1253,997
3050925,Komponistenviertel Weißensee,9749,7694
1033201,Brunnenstraße,14241,10962
10010207,Marzahner Promenade,10612,8888
3061332,Helmholtzplatz,22680,18486
3061228,Erich-Weinert-Straße,12745,11237
3061131,Falkplatz,10680,8898
3061227,Humannplatz,14643,12607
3050924,Behaimstraße,6339,5054
3051022,Hansastraße,4641,3858
3050923,Weißenseer Spitze,9965,8223
3061126,Arnimplatz,16167,13621
1033102,Gesundbrunnen,11654,9576
7070707,Wittelsbacherstraße,2961,2434
7070706,Horstwalder Straße/Paplitzer Straße,3881,3204
7070705,Franziusweg/Rohrbachstraße,7006,5884
7070703,John-Locke-Straße,8332,6949
7070704,Nahariyastraße,8473,6701
7070701,Kettinger Straße/Schillerstraße,10525,8919
7070702,Alt-Lichtenrade/Töpchiner Weg,10930,9083
8041036,Zittauer Straße,6865,5793
8020727,Buckow Mitte,11612,9771
8020726,Buckow West,8314,7144
8020728,Buckow Ost,8801,7147
7050506,Birnhornweg,2247,1924
7050505,Hundsteinweg,10713,9130
8030831,Gropiusstadt Ost,17680,14381
8030830,Gropiusstadt Süd,7279,6333
8020624,Britzer Garten,1400,1101
8041035,Blumenviertel,8288,6902
8020625,Handwerker-Siedlung,3336,2897
8030829,Gropiusstadt Nord,12533,10302
