id,name,size
10010310,Alt-Marzahn,19222
10010101,Marzahn West,7516
10010206,Ringkolonnaden,12584
10010204,Wuhletalstraße,5347
10010102,Havemannstraße,13914
10010311,Landsberger Tor,6508
10010205,Marzahn Ost,3999
10020413,Gut Hellersdorf,19237
10020412,Alte Hellersdorfer Straße,17420
10020519,Boulevard Kastanienallee,6313
10020414,Helle Mitte,0
10020415,Hellersdorfer Promenade,473
10020517,Adele-Sandrock-Straße,5792
10020416,Böhlener Straße,12895
9031202,Schmöckwitz/Rauchfangswerder,0
9031101,Grünau,5350
9041601,Müggelheim,4518
9031201,Karolinenhof,820
9031001,Bohnsdorf,10611
8041038,Waßmannsdorfer Chaussee,1145
9030903,Kölner Viertel,14035
9030902,Wohngebiet II,4667
8041039,Frauenviertel,21993
9041301,Kietzer Feld/Nachtheide,5362
9030901,Dorf Altglienicke,10068
8041040,Waltersdorfer Chaussee Ost,7829
9041302,Wendenschloß,0
9051801,Rahnsdorf/Hessenwinkel,4544
8041037,Alt-Rudow,6896
9020701,Adlershof West,4580
9020702,Adlershof Ost,16320
9020802,Köllnische Vorstadt,2621
9010402,Johannisthal Ost,17261
9041403,Allende II,3587
9010401,Johannisthal West,12933
9051702,Bölschestraße,9509
9041501,Altstadt Kietz,8853
9041401,Allende I,423
9041402,Siedlung Kämmereiheide,1167
9020602,Oberspree,8063
9051701,Hirschgarten,647
9051901,Dammvorstadt,9291
9020801,Spindlersfeld,3558
9020601,Schnellerstraße,10837
9020502,Oberschöneweide Ost,9414
9052001,Köpenick Nord,5076
9020501,Oberschöneweide West,6448
11051332,Karlshorst Süd,5060
10040933,Mahlsdorf Süd,7776
10030727,Biesdorf Süd,5738
11051331,Karlshorst Nord,10082
10040830,Kaulsdorf Süd,11491
11051330,Karlshorst West,3946
11051229,Rummelsburg,5050
11041128,Sewanstraße,38695
11041027,Tierpark,1303
11040926,Weitlingstraße,17805
10030726,Alt-Biesdorf,5182
10040932,Alt-Mahlsdorf,2018
11030824,Frankfurter Allee Süd,21510
10040829,Alt-Kaulsdorf,2189
10010308,Marzahner Chaussee,0
11041023,Gensinger Straße,6353
11041022,Rosenfelder Ring,2429
10040828,Kaulsdorf Nord,5124
10040931,Mahlsdorf Nord,7586
11030721,Rüdigerstraße,14676
10020622,Kaulsdorf Nord I,11145
10030725,Buckower Ring,5293
10030724,Oberfeldstraße,6820
11030720,Herzbergstraße,3354
10010309,Springpfuhl,16714
10020623,Rotes Viertel,2707
10020621,Gelbes Viertel,18348
10020620,Kaulsdorf Nord II,5066
10020518,Schleipfuhl,1236
3071638,Winsstraße,16534
3061435,Conrad-Blenkle-Straße,3866
3071537,Kollwitzplatz,15187
1011401,Invalidenstraße,27420
3061430,Volkspark Prenzlauer Berg,5163
3071639,Bötzowstraße,12697
3071536,Teutoburger Platz,11319
11030617,Hohenschönhausener Straße,6362
1011402,Arkonaplatz,10941
3061434,Anton-Saefkow-Park,12651
11020515,Landsberger Allee,5810
1033202,Humboldthain Süd,12139
11020516,Weiße Taube,3185
11020514,Große-Leege-Straße,6703
11020513,Orankesee,4841
3071633,Thälmannpark,9035
11020412,Hauptstraße,957
3061429,Greifswalder Straße,22283
10010203,Gewerbegebiet Bitterfelder Straße,0
3050925,Komponistenviertel Weißensee,12628
1033201,Brunnenstraße,7782
10010207,Marzahner Promenade,5427
3061332,Helmholtzplatz,14945
3061228,Erich-Weinert-Straße,6502
3061131,Falkplatz,13873
3061227,Humannplatz,8069
3050924,Behaimstraße,6655
3051022,Hansastraße,1550
3050923,Weißenseer Spitze,1002
3061126,Arnimplatz,7836
1033102,Gesundbrunnen,10810
7070707,Wittelsbacherstraße,4522
7070706,Horstwalder Straße/Paplitzer Straße,3517
7070705,Franziusweg/Rohrbachstraße,8431
7070703,John-Locke-Straße,4550
7070704,Nahariyastraße,0
7070701,Kettinger Straße/Schillerstraße,7774
7070702,Alt-Lichtenrade/Töpchiner Weg,14571
8041036,Zittauer Straße,10331
8020727,Buckow Mitte,7860
8020726,Buckow West,6335
8020728,Buckow Ost,5943
7050506,Birnhornweg,1438
7050505,Hundsteinweg,1493
8030831,Gropiusstadt Ost,20773
8030830,Gropiusstadt Süd,1345
8020624,Britzer Garten,1998
8041035,Blumenviertel,1997
8020625,Handwerker-Siedlung,6738
8030829,Gropiusstadt Nord,4577
8040933,Vogelviertel Süd,0
8020621,Mohriner Allee Nord,0
8040934,Vogelviertel Nord,5447
8020622,Parchimer Allee,15408
8020623,Ortolanweg,3
8020620,Tempelhofer Weg,10989
9010302,Späthsfelde,88
7050504,Imbrosweg,3163
8040932,Goldhähnchenweg,3002
7050503,Eisenacher Straße,14242
8020619,Buschkrugallee Nord,30281
7040406,Germaniagarten,7305
2030402,Wrangelkiez,16441
2050803,Stralauer Kiez,3559
2010104,Wassertorplatz,3287
2030301,Oranienplatz,11554
2010102,Mehringplatz,12240
2010101,Askanischer Platz,20774
2030302,Lausitzer Platz,9548
2010103,Moritzplatz,4784
11040925,Victoriastadt,3372
2040703,Wriezener Bahnhof/Entwicklungsgebiet,929
2050802,Boxhagener Platz,11235
1011306,Heine-Viertel Ost,2721
2050801,Traveplatz,8626
1011305,Heine-Viertel West,9258
2040702,Weberwiese,13832
2040701,Andreasviertel,16244
1011201,Wilhelmstraße,0
1011204,Leipziger Straße,5715
1011304,Karl-Marx-Allee,27018
1011203,Unter den Linden Süd,0
2050602,Samariterviertel,22001
1011303,Alexanderplatzviertel,5746
2040503,Richard-Sorge-Viertel,6716
1011202,Unter den Linden Nord,0
2040502,Friedenstraße,3319
2050601,Hausburgviertel,2380
3061441,Eldenaer Straße,5229
2040501,Barnimkiez,35527
1011302,Oranienburger Straße,13337
11030618,Fennpfuhl West,23106
11030619,Fennpfuhl Ost,7575
11020411,Malchower Weg,1783
3050920,Weißer See,13339
3051017,Rennbahnstraße,1646
3040818,Pankow Süd,24526
3051021,Buschallee,14955
3050919,Gustav-Adolf-Straße,7605
11010310,Mühlengrund,5228
11010205,Falkenberg West,12412
1033101,Soldiner Straße,22017
3030715,Heinersdorf,3715
11010204,Falkenberg Ost,7259
3040614,Pankow Zentrum,45171
11010309,Zingster Straße West,13298
11010308,Zingster Straße Ost,10516
3030716,Märchenland,7319
11010103,Dorf Falkenberg,0
11010207,Wartenberg Nord,10538
11010206,Wartenberg Süd,2614
11010101,Dorf Malchow,6621
3040513,Schönholz,17104
11010102,Dorf Wartenberg,6436
3020209,Niederschönhausen,5906
3030711,Blankenburg,4367
3020210,Herthaplatz,5793
3020307,Buchholz,33794
3030406,Alt-Karow,3791
3020203,Blankenfelde,0
3010104,Lietzengraben,0
3030405,Karow Nord,24498
3010102,Buch,12291
3010101,Bucher Forst,9804
7040405,Rathaus Tempelhof,4389
9010301,Baumschulenstraße,11895
8010510,Gewerbegebiet Köllnische Heide,0
8010509,Schulenburgpark,10666
8010118,Silbersteinstraße,5102
8010214,Glasower Straße,3235
7040401,Neu-Tempelhof,24107
8010115,Hasenheide,20647
8010213,Körnerpark,9470
8010508,Weiße Siedlung,0
8010404,Rixdorf,20972
9010202,Köpenicker Landstraße,19384
8010117,Schillerpromenade,10930
9010201,Am Treptower Park Süd,2451
8010407,Gewerbegebiet Ederstraße,0
8010212,Rollberg,14277
8010405,Hertzbergplatz,18210
8010211,Flughafenstraße,4650
8010406,Treptower Straße Nord,13513
8010116,Wissmannstraße,2854
8010303,Donaustraße,3569
9010102,Am Treptower Park Nord,11539
8010301,Reuterkiez,16197
2020205,Chamissokiez,6478
9010101,Elsenstraße,8302
