id,name,size
10010310,Alt-Marzahn,677420
10010101,Marzahn West,89601
10010206,Ringkolonnaden,355853
10010204,Wuhletalstraße,373332
10010102,Havemannstraße,413048
10010311,Landsberger Tor,129752
10010205,Marzahn Ost,158559
10020413,Gut Hellersdorf,388330
10020412,Alte Hellersdorfer Straße,99443
10020519,Boulevard Kastanienallee,142918
10020414,Helle Mitte,83978
10020415,Hellersdorfer Promenade,93231
10020517,Adele-Sandrock-Straße,239974
10020416,Böhlener Straße,123774
9031202,Schmöckwitz/Rauchfangswerder,325091
9031101,Grünau,437322
9041601,Müggelheim,484859
9031201,Karolinenhof,137550
9031001,Bohnsdorf,949408
8041038,Waßmannsdorfer Chaussee,309771
9030903,Kölner Viertel,239340
9030902,Wohngebiet II,57184
8041039,Frauenviertel,114081
9041301,Kietzer Feld/Nachtheide,463044
9030901,Dorf Altglienicke,893575
8041040,Waltersdorfer Chaussee Ost,194686
9041302,Wendenschloß,86286
9051801,Rahnsdorf/Hessenwinkel,845293
8041037,Alt-Rudow,353563
9020701,Adlershof West,632282
9020702,Adlershof Ost,382286
9020802,Köllnische Vorstadt,225246
9010402,Johannisthal Ost,540355
9041403,Allende II,44222
9010401,Johannisthal West,348247
9051702,Bölschestraße,579755
9041501,Altstadt Kietz,149080
9041401,Allende I,58867
9041402,Siedlung Kämmereiheide,103474
9020602,Oberspree,169666
9051701,Hirschgarten,152933
9051901,Dammvorstadt,289762
9020801,Spindlersfeld,103584
9020601,Schnellerstraße,301428
9020502,Oberschöneweide Ost,441276
9052001,Köpenick Nord,530771
9020501,Oberschöneweide West,264708
11051332,Karlshorst Süd,295385
10040933,Mahlsdorf Süd,1126761
10030727,Biesdorf Süd,651754
11051331,Karlshorst Nord,433391
10040830,Kaulsdorf Süd,583583
11051330,Karlshorst West,184519
11051229,Rummelsburg,203055
11041128,Sewanstraße,432537
11041027,Tierpark,124112
11040926,Weitlingstraße,584145
10030726,Alt-Biesdorf,320566
10040932,Alt-Mahlsdorf,256551
11030824,Frankfurter Allee Süd,118482
10040829,Alt-Kaulsdorf,183062
