Schlüssel,Name,Bezirk,PP Durchschnitt,PP Durchschnitt min Konfidenz,PP Durchschnitt max Konfidenz
1011303,Alexanderplatzviertel,Mitte,2939,2844,3033
4030725,Amtsgerichtsplatz,Charlottenburg-Wilmersdorf,2307,2139,2475
3061434,Anton-Saefkow-Park,Pankow,1586,1586,1586
1011402,Arkonaplatz,Mitte,2377,2257,2497
2010101,Askanischer Platz,Friedrichshain-Kreuzberg,1296,1270,1322
7010103,Barbarossaplatz,Tempelhof-Schöneberg,2100,2033,2167
2040501,Barnimkiez,Friedrichshain-Kreuzberg,957,911,1002
7020201,Bayerischer Platz,Tempelhof-Schöneberg,2132,2122,2141
1022102,Beusselkiez,Mitte,766,766,766
3071639,Bötzowstraße,Pankow,2668,2649,2687
8010302,Bouchéstraße,Neukölln,544,488,599
1033201,Brunnenstraße,Mitte,2261,2190,2332
2020205,Chamissokiez,Friedrichshain-Kreuzberg,2183,1855,2511
1011301,Charitéviertel,Mitte,2089,2089,2089
7010104,Dennewitzplatz,Tempelhof-Schöneberg,2309,2309,2309
8010303,Donaustraße,Neukölln,759,732,786
4030726,Droysenstraße,Charlottenburg-Wilmersdorf,1348,1303,1392
4051445,Eisenzahnstraße,Charlottenburg-Wilmersdorf,2227,2104,2349
1022106,Elberfelder Straße,Mitte,2433,2413,2452
1022104,Emdener Straße,Mitte,2955,2933,2976
3061131,Falkplatz,Pankow,2965,2906,3024
8010211,Flughafenstraße,Neukölln,1913,1884,1942
2040502,Friedenstraße,Friedrichshain-Kreuzberg,1845,1799,1891
8010407,Gewerbegebiet Ederstraße,Neukölln,388,388,388
2020206,Graefekiez,Friedrichshain-Kreuzberg,2833,2595,3071
3061429,Greifswalder Straße,Pankow,2892,2892,2892
1011102,Großer Tiergarten,Mitte,1368,1298,1438
1022207,Hansaviertel,Mitte,1320,1232,1407
8010115,Hasenheide,Neukölln,240,0,479
2050601,Hausburgviertel,Friedrichshain-Kreuzberg,1789,1786,1791
1011306,Heine-Viertel Ost,Mitte,1601,1508,1694
1011305,Heine-Viertel West,Mitte,1328,1324,1332
3061332,Helmholtzplatz,Pankow,3175,3128,3221
8010405,Hertzbergplatz,Neukölln,1532,1513,1551
1033202,Humboldthain Süd,Mitte,2519,2479,2559
1011401,Invalidenstraße,Mitte,2609,2464,2754
7020203,Kaiser-Wilhelm-Platz,Tempelhof-Schöneberg,3056,2955,3157
4030827,Karl-August-Platz,Charlottenburg-Wilmersdorf,1530,1515,1545
1011304,Karl-Marx-Allee,Mitte,3614,3368,3859
4030416,Klausenerplatz,Charlottenburg-Wilmersdorf,1170,1170,1170
3071537,Kollwitzplatz,Pankow,3804,3600,4007
8010213,Körnerpark,Neukölln,1997,1907,2086
1011104,Körnerstraße,Mitte,707,683,731
2030302,Lausitzer Platz,Friedrichshain-Kreuzberg,2164,2120,2207
1011204,Leipziger Straße,Mitte,2589,2532,2645
4030724,Lietzensee,Charlottenburg-Wilmersdorf,1286,1059,1513
1022203,Lübecker Straße,Mitte,650,639,661
1022206,Lüneburger Straße,Mitte,1113,1050,1175
1011103,Lützowstraße,Mitte,1056,986,1126
2010102,Mehringplatz,Friedrichshain-Kreuzberg,1264,1214,1313
2010103,Moritzplatz,Friedrichshain-Kreuzberg,2056,1957,2154
7040401,Neu-Tempelhof,Tempelhof-Schöneberg,4947,4789,5105
7010102,Nollendorfplatz,Tempelhof-Schöneberg,2467,2467,2467
1011105,Nördlicher Landwehrkanal,Mitte,1495,1488,1502
1011302,Oranienburger Straße,Mitte,2397,2269,2525
2030301,Oranienplatz,Friedrichshain-Kreuzberg,1525,1408,1642
2020202,Rathaus Yorckstraße,Friedrichshain-Kreuzberg,900,852,947
2030401,Reichenberger Straße,Friedrichshain-Kreuzberg,2051,1968,2133
8010301,Reuterkiez,Neukölln,4531,4509,4552
2040503,Richard-Sorge-Viertel,Friedrichshain-Kreuzberg,2068,2061,2075
8010404,Rixdorf,Neukölln,3669,3637,3701
8010212,Rollberg,Neukölln,1214,1096,1332
2050602,Samariterviertel,Friedrichshain-Kreuzberg,3468,3456,3480
8010117,Schillerpromenade,Neukölln,2609,2421,2797
4030417,Schloßstraße,Charlottenburg-Wilmersdorf,1577,1577,1577
1022201,Stephankiez,Mitte,3165,3132,3197
2050804,Stralauer Halbinsel,Friedrichshain-Kreuzberg,319,319,319
1011101,Stülerstraße,Mitte,957,910,1004
3071536,Teutoburger Platz,Pankow,1517,1451,1583
3071633,Thälmannpark,Pankow,1231,1229,1233
1022204,Thomasiusstraße,Mitte,1508,1430,1585
2050801,Traveplatz,Friedrichshain-Kreuzberg,2780,2719,2840
8010406,Treptower Straße Nord,Neukölln,984,984,984
1011202,Unter den Linden Nord,Mitte,1577,1574,1580
1011203,Unter den Linden Süd,Mitte,1390,1361,1418
2020204,Urbanstraße,Friedrichshain-Kreuzberg,2643,2378,2908
2020203,Viktoriapark,Friedrichshain-Kreuzberg,2085,1799,2371
7020202,Volkspark (Rudolf-Wilde-Park),Tempelhof-Schöneberg,2250,2192,2308
2010104,Wassertorplatz,Friedrichshain-Kreuzberg,1006,948,1064
1022103,Westhafen,Mitte,940,917,963
1011201,Wilhelmstraße,Mitte,1956,1939,1972
3071638,Winsstraße,Pankow,2480,2320,2640
8010116,Wissmannstraße,Neukölln,372,345,398
2030402,Wrangelkiez,Friedrichshain-Kreuzberg,1509,1464,1554
1022205,Zillesiedlung,Mitte,487,487,487
1022105,Zwinglistraße,Mitte,338,329,346
