Schlüssel,Name,Bezirk
1011303,Alexanderplatzviertel,Mitte
4030620,Alt-Lietzow,Charlottenburg-Wilmersdorf
4030725,Amtsgerichtsplatz,Charlottenburg-Wilmersdorf
2040701,Andreasviertel,Friedrichshain-Kreuzberg
3061434,Anton-Saefkow-Park,Pankow
1011402,Arkonaplatz,Mitte
2010101,Askanischer Platz,Friedrichshain-Kreuzberg
7010103,Barbarossaplatz,Tempelhof-Schöneberg
2040501,Barnimkiez,Friedrichshain-Kreuzberg
7020201,Bayerischer Platz,Tempelhof-Schöneberg
1022102,Beusselkiez,Mitte
3071639,Bötzowstraße,Pankow
8010302,Bouchéstraße,Neukölln
2050802,Boxhagener Platz,Friedrichshain-Kreuzberg
4030931,Breitscheidplatz,Charlottenburg-Wilmersdorf
1033201,Brunnenstraße,Mitte
2020205,Chamissokiez,Friedrichshain-Kreuzberg
1011301,Charitéviertel,Mitte
3061435,Conrad-Blenkle-Straße,Pankow
7010104,Dennewitzplatz,Tempelhof-Schöneberg
8010303,Donaustraße,Neukölln
4030726,Droysenstraße,Charlottenburg-Wilmersdorf
4051445,Eisenzahnstraße,Charlottenburg-Wilmersdorf
1022106,Elberfelder Straße,Mitte
3061441,Eldenaer Straße,Pankow
9010101,Elsenstraße,Treptow-Köpenick
1022104,Emdener Straße,Mitte
3061131,Falkplatz,Pankow
8010211,Flughafenstraße,Neukölln
2040502,Friedenstraße,Friedrichshain-Kreuzberg
4030930,George-Grosz-Platz,Charlottenburg-Wilmersdorf
8010407,Gewerbegebiet Ederstraße,Neukölln
2020206,Graefekiez,Friedrichshain-Kreuzberg
3061429,Greifswalder Straße,Pankow
1011102,Großer Tiergarten,Mitte
4031032,Halensee,Charlottenburg-Wilmersdorf
1022207,Hansaviertel,Mitte
8010115,Hasenheide,Neukölln
2050601,Hausburgviertel,Friedrichshain-Kreuzberg
1022202,Heidestraße,Mitte
1011306,Heine-Viertel Ost,Mitte
1011305,Heine-Viertel West,Mitte
3061332,Helmholtzplatz,Pankow
8010405,Hertzbergplatz,Neukölln
1033202,Humboldthain Süd,Mitte
1022101,Huttenkiez,Mitte
1011401,Invalidenstraße,Mitte
7020203,Kaiser-Wilhelm-Platz,Tempelhof-Schöneberg
4030827,Karl-August-Platz,Charlottenburg-Wilmersdorf
1011304,Karl-Marx-Allee,Mitte
4030416,Klausenerplatz,Charlottenburg-Wilmersdorf
3071537,Kollwitzplatz,Pankow
8010213,Körnerpark,Neukölln
1011104,Körnerstraße,Mitte
2030302,Lausitzer Platz,Friedrichshain-Kreuzberg
1011204,Leipziger Straße,Mitte
4030724,Lietzensee,Charlottenburg-Wilmersdorf
1022203,Lübecker Straße,Mitte
1022206,Lüneburger Straße,Mitte
1011103,Lützowstraße,Mitte
2010102,Mehringplatz,Friedrichshain-Kreuzberg
2010103,Moritzplatz,Friedrichshain-Kreuzberg
7040401,Neu-Tempelhof,Tempelhof-Schöneberg
7010102,Nollendorfplatz,Tempelhof-Schöneberg
1011105,Nördlicher Landwehrkanal,Mitte
1011302,Oranienburger Straße,Mitte
2030301,Oranienplatz,Friedrichshain-Kreuzberg
2020202,Rathaus Yorckstraße,Friedrichshain-Kreuzberg
2030401,Reichenberger Straße,Friedrichshain-Kreuzberg
8010301,Reuterkiez,Neukölln
2040503,Richard-Sorge-Viertel,Friedrichshain-Kreuzberg
8010404,Rixdorf,Neukölln
8010212,Rollberg,Neukölln
2050602,Samariterviertel,Friedrichshain-Kreuzberg
8010117,Schillerpromenade,Neukölln
4030417,Schloßstraße,Charlottenburg-Wilmersdorf
7020204,Schöneberger Insel,Tempelhof-Schöneberg
1022201,Stephankiez,Mitte
2050804,Stralauer Halbinsel,Friedrichshain-Kreuzberg
2050803,Stralauer Kiez,Friedrichshain-Kreuzberg
1011101,Stülerstraße,Mitte
3071536,Teutoburger Platz,Pankow
3071633,Thälmannpark,Pankow
1022204,Thomasiusstraße,Mitte
2050801,Traveplatz,Friedrichshain-Kreuzberg
8010406,Treptower Straße Nord,Neukölln
1011202,Unter den Linden Nord,Mitte
1011203,Unter den Linden Süd,Mitte
2020204,Urbanstraße,Friedrichshain-Kreuzberg
2020203,Viktoriapark,Friedrichshain-Kreuzberg
7020202,Volkspark (Rudolf-Wilde-Park),Tempelhof-Schöneberg
2010104,Wassertorplatz,Friedrichshain-Kreuzberg
2040702,Weberwiese,Friedrichshain-Kreuzberg
1022103,Westhafen,Mitte
1011201,Wilhelmstraße,Mitte
3071638,Winsstraße,Pankow
8010116,Wissmannstraße,Neukölln
2030402,Wrangelkiez,Friedrichshain-Kreuzberg
1022205,Zillesiedlung,Mitte
1022105,Zwinglistraße,Mitte
