Schlüssel,Name,Bezirk,PP Fläche in %,Grünanlagenflächen in %,Spielplatzflächen in %
1011303,Alexanderplatzviertel,Mitte,2.7,9.0,0.4
4030725,Amtsgerichtsplatz,Charlottenburg-Wilmersdorf,5.6,0.4,0.6
3061434,Anton-Saefkow-Park,Pankow,3.6,11.8,2.3
1011402,Arkonaplatz,Mitte,4.9,7.5,1.8
2010101,Askanischer Platz,Friedrichshain-Kreuzberg,2.3,10.0,2.9
7010103,Barbarossaplatz,Tempelhof-Schöneberg,5.1,10.0,2.5
2040501,Barnimkiez,Friedrichshain-Kreuzberg,1.3,48.7,3.8
7020201,Bayerischer Platz,Tempelhof-Schöneberg,5.1,1.2,1.5
1022102,Beusselkiez,Mitte,4.1,0.0,3.0
3071639,Bötzowstraße,Pankow,5.9,6.2,2.2
8010302,Bouchéstraße,Neukölln,4.9,0.0,0.0
1033201,Brunnenstraße,Mitte,3.7,0.0,1.0
2020205,Chamissokiez,Friedrichshain-Kreuzberg,2.8,0.3,0.7
1011301,Charitéviertel,Mitte,1.6,4.7,0.5
7010104,Dennewitzplatz,Tempelhof-Schöneberg,3.4,8.7,1.5
8010303,Donaustraße,Neukölln,3.7,0.0,1.4
4030726,Droysenstraße,Charlottenburg-Wilmersdorf,5.0,2.5,1.7
4051445,Eisenzahnstraße,Charlottenburg-Wilmersdorf,3.7,0.1,0.2
1022106,Elberfelder Straße,Mitte,4.8,4.6,0.8
1022104,Emdener Straße,Mitte,4.8,2.1,2.3
3061131,Falkplatz,Pankow,4.1,20.7,1.5
8010211,Flughafenstraße,Neukölln,5.7,0.3,1.1
2040502,Friedenstraße,Friedrichshain-Kreuzberg,3.4,4.3,0.5
8010407,Gewerbegebiet Ederstraße,Neukölln,2.0,0.0,0.0
2020206,Graefekiez,Friedrichshain-Kreuzberg,3.6,3.5,1.0
3061429,Greifswalder Straße,Pankow,4.2,11.4,2.6
1011102,Großer Tiergarten,Mitte,0.6,72.0,0.4
1022207,Hansaviertel,Mitte,3.1,11.4,0.3
8010115,Hasenheide,Neukölln,0.2,32.9,1.5
2050601,Hausburgviertel,Friedrichshain-Kreuzberg,7.2,0.3,0.8
1011306,Heine-Viertel Ost,Mitte,2.8,7.8,0.4
1011305,Heine-Viertel West,Mitte,2.6,11.6,1.4
