Schlüssel,Name,Flächengröße in m²,Bezirk,PP Durchschnitt,PP Durchschnitt min Konfidenz,PP Durchschnitt max Konfidenz,PP Straßenraum Durchschnitt,PP Straßenraum min Konfidenz,PP Straßenraum max Konfidenz,PP nicht Straßenraum Durchschnitt,PP nicht Straßenraum min Konfidenz,PP nicht Straßenraum max Konfidenz,PP in m²,PP Fläche in %,PP Fläche pro Einwohner in m²,PP mit Beschränkungen,Einwohner,Einwohner Erwachsen,Kfz,Pkw,PP pro Kfz,PP Fläche pro Kfz in m²,Grünanlagenflächen in m²,Grünanlagenflächen in %,Grünanlagenflächen pro Einwohner in m²,Spielplatzflächen in m²,Spielplatzflächen in %,Straßenverkehrsfläche in m²,Straßenverkehrsfläche in %,Anteil der PP Fläche im Straßenraum an Straßenverkehrsfläche in %
1011303,Alexanderplatzviertel,1359867,Mitte,3091,2998,3184,2898,2805,2991,193,193,193,38637.5,2.8,3.9230,2486,9849,8737,4975,3010,0.6,7.8,122622,9.0,12.5,5746,0.4,521436,38.3,6.9
4030620,Alt-Lietzow,535173,Charlottenburg-Wilmersdorf,1583,1508,1658,1583,1508,1658,0,0,0,19787.5,3.7,2.2339,14,8858,7795,2678,2305,0.6,7.4,38393,7.2,4.3,2097,0.4,168240,31.4,11.8
4030725,Amtsgerichtsplatz,515035,Charlottenburg-Wilmersdorf,2414,2197,2630,2382,2165,2598,32,32,32,30175,5.9,2.4599,126,12267,10684,3755,3249,0.6,8.0,2203,0.4,0.2,3298,0.6,196672,38.2,15.1
2040701,Andreasviertel,977035,Friedrichshain-Kreuzberg,2144,1989,2299,2144,1989,2299,0,0,0,26800,2.7,1.9843,538,13506,11640,3433,3139,0.6,7.8,47005,4.8,3.5,16244,1.7,299117,30.6,9.0
3061434,Anton-Saefkow-Park,550217,Pankow,1598,1598,1598,1542,1542,1542,56,56,56,19975,3.6,3.0911,99,6462,5476,1549,1291,1.0,12.9,65087,11.8,10.1,12651,2.3,166036,30.2,11.6
1011402,Arkonaplatz,600838,Mitte,2398,2359,2436,2398,2359,2436,0,0,0,29975,5.0,2.2349,54,13412,11052,2988,2574,0.8,10.0,44838,7.5,3.3,10941,1.8,179736,29.9,16.7
2010101,Askanischer Platz,706611,Friedrichshain-Kreuzberg,1317,1291,1343,1317,1291,1343,0,0,0,16462.5,2.3,2.5611,185,6428,5395,2309,2113,0.6,7.1,70461,10.0,11.0,20774,2.9,176694,25.0,9.3
4051655,Babelsberger Straße,585193,Charlottenburg-Wilmersdorf,2037,1939,2135,2037,1939,2135,0,0,0,25462.5,4.4,3.4091,12,7469,6393,2673,2394,0.8,9.5,61816,10.6,8.3,9786,1.7,222006,37.9,11.5
7010103,Barbarossaplatz,514127,Tempelhof-Schöneberg,2124,2057,2191,2124,2057,2191,0,0,0,26550,5.2,2.5068,124,10591,9087,3053,2595,0.7,8.7,51594,10.0,4.9,13077,2.5,109443,21.3,24.3
2040501,Barnimkiez,939798,Friedrichshain-Kreuzberg,997,975,1019,984,962,1006,13,13,13,12462.5,1.3,2.3164,110,5380,4631,1664,1552,0.6,7.5,457798,48.7,85.1,35527,3.8,95832,10.2,12.8
7020201,Bayerischer Platz,522932,Tempelhof-Schöneberg,2237,2227,2246,2237,2227,2246,0,0,0,27962.5,5.3,2.6209,105,10669,9314,3544,3100,0.6,7.9,6443,1.2,0.6,8000,1.5,197286,37.7,14.2
1022102,Beusselkiez,236256,Mitte,766,766,766,766,766,766,0,0,0,9575,4.1,1.4052,62,6814,5901,1244,1062,0.6,7.7,0,0.0,0.0,7166,3.0,73023,30.9,13.1
3071639,Bötzowstraße,569938,Pankow,2731,2712,2750,2670,2651,2689,61,61,61,34137.5,6.0,2.6533,273,12866,10328,3493,2923,0.8,9.8,35512,6.2,2.8,12697,2.2,177788,31.2,18.8
8010302,Bouchéstraße,139786,Neukölln,616,589,642,616,589,642,0,0,0,7700,5.5,1.9990,5,3852,3341,1023,843,0.6,7.5,0,0.0,0.0,2,0.0,44010,31.5,17.5
2050802,Boxhagener Platz,831874,Friedrichshain-Kreuzberg,3180,3173,3186,3180,3173,3186,0,0,0,39750,4.8,1.8416,35,21584,18660,4431,3532,0.7,9.0,15487,1.9,0.7,11235,1.4,229283,27.6,17.3
4051551,Brabanter Platz,419587,Charlottenburg-Wilmersdorf,1104,1009,1199,1104,1009,1199,0,0,0,13800,3.3,3.0511,14,4523,3900,1464,1243,0.8,9.4,3591,0.9,0.8,1123,0.3,192213,45.8,7.2
4030931,Breitscheidplatz,602715,Charlottenburg-Wilmersdorf,1645,1589,1700,1485,1429,1540,160,160,160,20562.5,3.4,5.5454,169,3708,3235,3413,2921,0.5,6.0,15,0.0,0.0,0,0.0,252347,41.9,7.4
1033201,Brunnenstraße,773205,Mitte,2227,2190,2263,2119,2082,2155,108,108,108,27837.5,3.6,1.9547,144,14241,10962,2886,2599,0.8,9.6,142,0.0,0.0,7782,1.0,206193,26.7,12.8
2020205,Chamissokiez,975499,Friedrichshain-Kreuzberg,2333,2154,2511,2333,2154,2511,0,0,0,29162.5,3.0,1.9488,169,14964,12839,4082,3356,0.6,7.1,3403,0.3,0.2,6478,0.7,170955,17.5,17.1
1011301,Charitéviertel,1683330,Mitte,2174,2174,2174,2174,2174,2174,0,0,0,27175,1.6,3.9922,1292,6807,5871,3126,2666,0.7,8.7,78639,4.7,11.6,8782,0.5,262386,15.6,10.4
3061435,Conrad-Blenkle-Straße,551417,Pankow,987,987,987,987,987,987,0,0,0,12337.5,2.2,3.0805,40,4005,3454,958,832,1.0,12.9,7899,1.4,2.0,3866,0.7,106203,19.3,11.6
7010104,Dennewitzplatz,850980,Tempelhof-Schöneberg,2395,2395,2395,2395,2395,2395,0,0,0,29937.5,3.5,2.1926,145,13654,11505,3140,2626,0.8,9.5,74051,8.7,5.4,12734,1.5,234854,27.6,12.7
8010303,Donaustraße,255424,Neukölln,813,807,818,813,807,818,0,0,0,10162.5,4.0,1.2235,201,8306,7095,1632,1292,0.5,6.2,0,0.0,0.0,3569,1.4,80959,31.7,12.6
4030726,Droysenstraße,338305,Charlottenburg-Wilmersdorf,1496,1383,1609,1484,1371,1597,12,12,12,18700,5.5,3.2807,158,5700,4955,1914,1664,0.8,9.8,8507,2.5,1.5,5823,1.7,120365,35.6,15.4
4051445,Eisenzahnstraße,755758,Charlottenburg-Wilmersdorf,2386,2323,2449,2268,2205,2331,118,118,118,29825,3.9,4.6255,209,6448,5558,3325,2954,0.7,9.0,1111,0.1,0.2,1794,0.2,208705,27.6,13.6
1022106,Elberfelder Straße,638706,Mitte,2425,2413,2437,2376,2364,2388,49,49,49,30312.5,4.7,2.6866,163,11283,9780,3184,2694,0.8,9.5,29081,4.6,2.6,5286,0.8,172584,27.0,17.2
3061441,Eldenaer Straße,576287,Pankow,1295,1295,1295,1295,1295,1295,0,0,0,16187.5,2.8,5.8082,53,2787,1892,816,703,1.6,19.8,60760,10.5,21.8,5229,0.9,120949,21.0,13.4
9010101,Elsenstraße,1232963,Treptow-Köpenick,4198,4161,4235,3198,3161,3235,1000,1000,1000,52475,4.3,4.0387,1077,12993,10653,4073,3339,1.0,12.9,123105,10.0,9.5,8302,0.7,261919,21.2,15.3
1022104,Emdener Straße,775420,Mitte,2962,2962,2962,2800,2800,2800,162,162,162,37025,4.8,1.9899,233,18606,16097,4449,3529,0.7,8.3,16205,2.1,0.9,18214,2.3,241120,31.1,14.5
4030623,Ernst-Reuter-Platz,957207,Charlottenburg-Wilmersdorf,2143,2073,2213,2143,2073,2213,0,0,0,26787.5,2.8,5.2908,23,5063,4392,2966,2611,0.7,9.0,16092,1.7,3.2,2403,0.3,270319,28.2,9.9
3061131,Falkplatz,907158,Pankow,2965,2906,3024,2403,2344,2462,562,562,562,37062.5,4.1,3.4703,134,10680,8898,2345,1910,1.3,15.8,187755,20.7,17.6,13873,1.5,177773,19.6,16.9
8010211,Flughafenstraße,421051,Neukölln,1913,1884,1942,1357,1328,1386,556,556,556,23912.5,5.7,2.4341,128,9824,8445,1792,1482,1.1,13.3,1330,0.3,0.1,4650,1.1,98218,23.3,17.3
2040502,Friedenstraße,673201,Friedrichshain-Kreuzberg,1826,1799,1852,1826,1799,1852,0,0,0,22825,3.4,2.9620,110,7706,6628,1999,1756,0.9,11.4,28878,4.3,3.7,3319,0.5,154681,23.0,14.8
4030930,George-Grosz-Platz,464265,Charlottenburg-Wilmersdorf,1708,1463,1953,1708,1463,1953,0,0,0,21350,4.6,3.7828,102,5644,4958,3539,3190,0.5,6.0,4,0.0,0.0,3277,0.7,155678,33.5,13.7
8010407,Gewerbegebiet Ederstraße,239734,Neukölln,388,388,388,388,388,388,0,0,0,4850,2.0,6.1083,54,794,703,396,249,1.0,12.2,0,0.0,0.0,0,0.0,29295,12.2,16.6
2020201,Gleisdreieck/Entwicklungsgebiet,736194,Friedrichshain-Kreuzberg,240,199,280,240,199,280,0,0,0,3000,0.4,1.5536,24,1931,1538,549,488,0.4,5.5,276666,37.6,143.3,2736,0.4,40220,5.5,7.5
2020206,Graefekiez,982760,Friedrichshain-Kreuzberg,2978,2744,3211,2978,2744,3211,0,0,0,37225,3.8,1.9617,175,18976,15893,4283,3436,0.7,8.7,34782,3.5,1.8,9882,1.0,272403,27.7,13.7
1011102,Großer Tiergarten,3005699,Mitte,1368,1298,1438,1314,1244,1384,54,54,54,17100,0.6,88.1443,223,194,184,313,183,4.4,54.6,2163862,72.0,11153.9,12477,0.4,276672,9.2,5.9
4031032,Halensee,1225233,Charlottenburg-Wilmersdorf,3381,3356,3406,3144,3119,3169,237,237,237,42262.5,3.4,2.6910,433,15705,13836,6697,5712,0.5,6.3,13559,1.1,0.9,10792,0.9,289068,23.6,13.6
1022207,Hansaviertel,533762,Mitte,1321,1232,1409,1227,1138,1315,94,94,94,16512.5,3.1,2.9128,24,5669,5165,1452,1266,0.9,11.4,60914,11.4,10.7,1588,0.3,118671,22.2,12.9
8010115,Hasenheide,1422637,Neukölln,175,0,350,175,0,350,0,0,0,2187.5,0.2,2.3321,5,938,792,292,222,0.6,7.5,468567,32.9,499.5,20647,1.5,31632,2.2,6.9
2050601,Hausburgviertel,308959,Friedrichshain-Kreuzberg,1786,1786,1786,1786,1786,1786,0,0,0,22325,7.2,2.4335,271,9174,7934,1920,1538,0.9,11.6,833,0.3,0.1,2380,0.8,128196,41.5,17.4
1022202,Heidestraße,683524,Mitte,177,177,177,177,177,177,0,0,0,2212.5,0.3,0.5289,2,4183,3516,1056,985,0.2,2.1,39258,5.7,9.4,6761,1.0,104568,15.3,2.1
1011306,Heine-Viertel Ost,716799,Mitte,1650,1605,1694,1650,1605,1694,0,0,0,20625,2.9,1.9274,18,10701,9392,3458,2967,0.5,6.0,55943,7.8,5.2,2721,0.4,160913,22.4,12.8
1011305,Heine-Viertel West,643215,Mitte,1328,1324,1332,1308,1304,1312,20,20,20,16600,2.6,1.8475,316,8985,7919,2569,2304,0.5,6.5,74891,11.6,8.3,9258,1.4,145884,22.7,11.2
3061332,Helmholtzplatz,712589,Pankow,3177,3132,3221,3177,3132,3221,0,0,0,39712.5,5.6,1.7510,145,22680,18486,4842,3952,0.7,8.2,17593,2.5,0.8,14945,2.1,194970,27.4,20.4
8010405,Hertzbergplatz,398581,Neukölln,1532,1513,1551,1532,1513,1551,0,0,0,19150,4.8,2.1531,26,8894,7656,1845,1535,0.8,10.4,20418,5.1,2.3,18210,4.6,90765,22.8,21.1
